Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,287527,-,-,-,51.01,-113.94,-7,1047,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Cloud Type,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
1998,1,1,0,0,0,0,4,-5,0.201,2,87,-4,870,N/A
1998,1,1,0,30,0,0,7,-5,0.201,2.7,87.03,-4,870,N/A
1998,1,1,1,0,0,0,7,-6,0.201,3.4000000000000004,88.56,-5,870,N/A
1998,1,1,1,30,0,0,7,-6,0.201,3.8000000000000003,88.59,-5,880,N/A
1998,1,1,2,0,0,0,7,-7,0.201,4.2,86.28,-6,880,N/A
1998,1,1,2,30,0,0,7,-7,0.201,4.2,86.29,-6,880,N/A
1998,1,1,3,0,0,0,7,-9,0.201,4.2,81.82000000000001,-7,880,N/A
1998,1,1,3,30,0,0,7,-9,0.201,4.1000000000000005,81.81,-7,880,N/A
1998,1,1,4,0,0,0,7,-10,0.201,4,79.36,-8,880,N/A
1998,1,1,4,30,0,0,7,-10,0.201,3.8000000000000003,79.33,-8,880,N/A
1998,1,1,5,0,0,0,8,-12,0.201,3.7,78.82000000000001,-9,880,N/A
1998,1,1,5,30,0,0,8,-12,0.201,3.7,78.81,-9,870,N/A
1998,1,1,6,0,0,0,4,-12,0.201,3.8000000000000003,73.15,-9,870,N/A
1998,1,1,6,30,0,0,4,-12,0.201,3.9000000000000004,73.15,-9,870,N/A
1998,1,1,7,0,0,0,7,-13,0.201,4,73.08,-10,870,N/A
1998,1,1,7,30,0,0,7,-13,0.201,4.2,73.10000000000001,-10,870,N/A
1998,1,1,8,0,0,0,8,-15,0.201,4.5,71.73,-11,880,N/A
1998,1,1,8,30,0,0,7,-15,0.201,4.5,77.73,-12,880,N/A
1998,1,1,9,0,4,0,4,-16,0.201,4.5,73.89,-13,880,N/A
1998,1,1,9,30,15,0,4,-16,0.201,4.2,73.89,-13,880,N/A
1998,1,1,10,0,28,0,4,-18,0.201,4,70.94,-14,880,N/A
1998,1,1,10,30,5,0,4,-18,0.201,3.7,70.92,-14,880,N/A
1998,1,1,11,0,20,0,7,-19,0.201,3.5,65.41,-14,880,N/A
1998,1,1,11,30,65,646,1,-19,0.201,3.3000000000000003,65.39,-14,880,N/A
1998,1,1,12,0,5,0,7,-19,0.201,3.2,62.4,-14,870,N/A
1998,1,1,12,30,27,0,8,-19,0.201,3.3000000000000003,62.38,-14,870,N/A
1998,1,1,13,0,80,0,7,-19,0.201,3.4000000000000004,65.64,-15,870,N/A
1998,1,1,13,30,45,0,4,-20,0.201,3.5,65.61,-15,870,N/A
1998,1,1,14,0,88,12,4,-20,0.201,3.6,63.75,-15,870,N/A
1998,1,1,14,30,9,0,7,-20,0.201,3.8000000000000003,63.74,-15,870,N/A
1998,1,1,15,0,10,0,4,-20,0.201,4,60.89,-15,870,N/A
1998,1,1,15,30,39,443,0,-20,0.201,4.1000000000000005,60.89,-15,870,N/A
1998,1,1,16,0,25,299,7,-21,0.201,4.3,62.27,-16,870,N/A
1998,1,1,16,30,0,0,7,-21,0.201,4.4,62.28,-16,870,N/A
1998,1,1,17,0,0,0,6,-22,0.201,4.6000000000000005,63.690000000000005,-17,870,N/A
1998,1,1,17,30,0,0,6,-22,0.201,4.6000000000000005,63.7,-17,870,N/A
